snp	chromosome	basepair	gene	phewas_code	phewas_string	cases	odds_ratio	p
rs7216389	17	38069949.0	GSDMB	281.1	Megaloblastic anemia	176	0.691	0.0007878999999999999
rs7216389	17	38069949.0	GSDMB	374.3	Ptosis of eyelid	597	1.235	0.001599
rs7216389	17	38069949.0	GSDMB	721.2	Spondylosis with myelopathy	153	0.6984	0.002286
rs7216389	17	38069949.0	GSDMB	281.0	Other deficiency anemia	307	0.7806	0.003045
rs7216389	17	38069949.0	GSDMB	277.4	Disorders of bilirubin excretion	46	0.5268	0.003486
rs7216389	17	38069949.0	GSDMB	110.13	Dermatophytosis of the body	169	1.376	0.004104
rs7216389	17	38069949.0	GSDMB	281.12	Other vitamin B12 deficiency anemia	84	0.6424	0.005414
rs7216389	17	38069949.0	GSDMB	721.0	Spondylosis and allied disorders	2154	0.9021	0.005559000000000001
rs7216389	17	38069949.0	GSDMB	600.0	Hyperplasia of prostate	2205	1.15	0.0056619999999999995
rs7216389	17	38069949.0	GSDMB	420.0	Carditis	362	0.8152	0.0073230000000000005
rs7216389	17	38069949.0	GSDMB	426.8	Other cardiac conduction disorders	52	1.7530000000000001	0.007692
rs7216389	17	38069949.0	GSDMB	362.9	Retinal edema and hypertensive retinopathy	220	1.305	0.007725
rs7216389	17	38069949.0	GSDMB	721.1	Spondylosis without myelopathy	2029	0.9033	0.007776000000000001
rs7216389	17	38069949.0	GSDMB	753.1	Congenital cataract and lens anomalies	35	1.94	0.008602
rs7216389	17	38069949.0	GSDMB	603.0	Other disorders of testis	201	1.37	0.00978
rs7216389	17	38069949.0	GSDMB	337.1	Peripheral autonomic neuropathy	150	0.7376	0.01001
rs7216389	17	38069949.0	GSDMB	345.1	Epilepsy	170	0.7523	0.0101
rs7216389	17	38069949.0	GSDMB	364.4	Corneal degenerations	184	1.325	0.01014
rs7216389	17	38069949.0	GSDMB	473.4	Voice disturbance	487	1.189	0.01215
rs7216389	17	38069949.0	GSDMB	715.1	Sacroiliitis NEC	47	0.5856	0.01295
rs7216389	17	38069949.0	GSDMB	288.2	Elevated white blood cell count	239	1.253	0.01546
rs7216389	17	38069949.0	GSDMB	603.2	Spermatocele	68	1.601	0.016280000000000003
rs7216389	17	38069949.0	GSDMB	270.38	Other specified disorders of plasma protein metabolism	28	1.966	0.01641
rs7216389	17	38069949.0	GSDMB	281.11	Pernicious anemia	109	0.7191	0.01706
rs7216389	17	38069949.0	GSDMB	388.0	Other disorders of ear	314	0.8111	0.01873
rs7216389	17	38069949.0	GSDMB	751.21	Cystic kidney disease	75	1.48	0.01875
rs7216389	17	38069949.0	GSDMB	433.6	Acute, but ill-defined cerebrovascular disease	579	1.161	0.019530000000000002
rs7216389	17	38069949.0	GSDMB	337.0	Disorders of the autonomic nervous system	217	0.7968	0.020319999999999998
rs7216389	17	38069949.0	GSDMB	689.0	Disorder of skin and subcutaneous tissue NOS	2203	1.089	0.020640000000000002
rs7216389	17	38069949.0	GSDMB	287.0	Purpura and other hemorrhagic conditions	786	1.133	0.02246
rs7216389	17	38069949.0	GSDMB	286.0	Coagulation defects	2191	1.084	0.02356
rs7216389	17	38069949.0	GSDMB	440.22	Atherosclerosis of native arteries of the extremities with intermittent claudication	961	0.8737	0.023809999999999998
rs7216389	17	38069949.0	GSDMB	345.0	Epilepsy, recurrent seizures, convulsions	512	0.8657	0.02522
rs7216389	17	38069949.0	GSDMB	371.0	Inflammation of the eye	2616	1.093	0.02642
rs7216389	17	38069949.0	GSDMB	964.0	Poisoning by agents primarily affecting blood constituents	71	1.469	0.026430000000000002
rs7216389	17	38069949.0	GSDMB	603.1	Hydrocele	125	1.393	0.026439999999999998
rs7216389	17	38069949.0	GSDMB	964.1	Anticoagulants causing adverse effects	63	1.494	0.02907
rs7216389	17	38069949.0	GSDMB	8.52	Intestinal infection due to C. difficile	149	1.291	0.02951
rs7216389	17	38069949.0	GSDMB	420.3	Endocarditis	177	0.7911	0.030180000000000002
rs7216389	17	38069949.0	GSDMB	681.2	Cellulitis and abscess of face/neck	162	1.2770000000000001	0.03069
rs7216389	17	38069949.0	GSDMB	912.0	Insect bite	348	0.843	0.03163
rs7216389	17	38069949.0	GSDMB	527.0	Diseases of the salivary glands	238	1.224	0.03165
rs7216389	17	38069949.0	GSDMB	526.5	Inflammatory conditions of jaw	81	0.7048	0.03167
rs7216389	17	38069949.0	GSDMB	151.0	Cancer of stomach	51	0.6473	0.03293
rs7216389	17	38069949.0	GSDMB	871.3	Open wound of foot except toe(s) alone	92	0.7259	0.033010000000000005
rs7216389	17	38069949.0	GSDMB	374.0	Other disorders of eyelids	1407	1.11	0.03367
rs7216389	17	38069949.0	GSDMB	594.1	Calculus of kidney	628	1.131	0.034089999999999995
rs7216389	17	38069949.0	GSDMB	599.2	Retention of urine	1095	1.11	0.034260000000000006
rs7216389	17	38069949.0	GSDMB	724.0	Other and unspecified disorders of back	924	0.893	0.03437
rs7216389	17	38069949.0	GSDMB	599.4	Urinary incontinence	1353	1.1	0.03444
rs7216389	17	38069949.0	GSDMB	716.2	Unspecified monoarthritis	64	1.464	0.0347
rs7216389	17	38069949.0	GSDMB	599.0	Other symptoms/disorders or the urinary system	3821	1.067	0.03574
rs7216389	17	38069949.0	GSDMB	522.0	Diseases of pulp and periapical tissues	530	0.8675	0.035910000000000004
rs7216389	17	38069949.0	GSDMB	702.2	Seborrheic keratosis	2570	1.077	0.036539999999999996
rs7216389	17	38069949.0	GSDMB	691.0	Congenital anomalies of skin	122	1.315	0.037689999999999994
rs7216389	17	38069949.0	GSDMB	751.0	Genitourinary congenital anomalies	152	1.273	0.038239999999999996
rs7216389	17	38069949.0	GSDMB	735.21	Hammer toe (acquired	563	1.1420000000000001	0.03949
rs7216389	17	38069949.0	GSDMB	722.7	Intervertebral disc disorder with myelopathy	52	1.516	0.03959
rs7216389	17	38069949.0	GSDMB	737.0	Curvature of spine	353	1.173	0.03988
rs7216389	17	38069949.0	GSDMB	345.3	Convulsions	461	0.8709	0.041260000000000005
rs7216389	17	38069949.0	GSDMB	707.3	Chronic ulcer of unspecified site	260	0.835	0.043769999999999996
rs7216389	17	38069949.0	GSDMB	362.23	Cystoid macular degeneration of retina	254	1.215	0.04442
rs7216389	17	38069949.0	GSDMB	751.2	Congenital anomalies of urinary system	107	1.3219999999999998	0.04448
rs7216389	17	38069949.0	GSDMB	519.8	Other diseases of respiratory system, NEC	151	1.2670000000000001	0.0452
