snp,chromosome,basepair,gene,phewas_code,phewas_string,cases,odds_ratio,p
rs10934853,3,128038373.0,EEFSEC,8.0,Intestinal infection,406,1.054,0.506
rs10934853,3,128038373.0,EEFSEC,10.0,Tuberculosis,36,0.7472,0.3027
rs10934853,3,128038373.0,EEFSEC,38.0,Septicemia,605,1.119,0.08174
rs10934853,3,128038373.0,EEFSEC,41.0,Bacterial infection NOS,1040,1.0070000000000001,0.8896
rs10934853,3,128038373.0,EEFSEC,53.0,Herpes zoster,604,0.9981,0.9781
rs10934853,3,128038373.0,EEFSEC,54.0,Herpes simplex,228,0.8846,0.2669
rs10934853,3,128038373.0,EEFSEC,70.0,Viral hepatitis,255,1.0979999999999999,0.3407
rs10934853,3,128038373.0,EEFSEC,70.3,Viral hepatitis C,96,1.158,0.3512
rs10934853,3,128038373.0,EEFSEC,78.0,Viral warts & HPV,874,0.9941,0.92
rs10934853,3,128038373.0,EEFSEC,79.0,Viral infection,709,1.1520000000000001,0.02545
rs10934853,3,128038373.0,EEFSEC,80.0,Postoperative infection,446,0.9926,0.9222
rs10934853,3,128038373.0,EEFSEC,81.0,Infection/inflammation of internal prosthetic device; implant; and graft,259,0.9502,0.608
rs10934853,3,128038373.0,EEFSEC,90.0,Sexually transmitted infections (not HIV or hepatitis),34,0.9165,0.7511
rs10934853,3,128038373.0,EEFSEC,110.0,Dermatophytosis / Dermatomycosis,2104,0.9397,0.1319
rs10934853,3,128038373.0,EEFSEC,112.0,Candidiasis,570,0.9872,0.8525
rs10934853,3,128038373.0,EEFSEC,117.0,Mycoses,80,0.731,0.09952000000000001
rs10934853,3,128038373.0,EEFSEC,130.0,Spirochetal infection,86,1.044,0.8008
rs10934853,3,128038373.0,EEFSEC,132.0,"Infestation (lice, mites)",55,0.8465,0.4491
rs10934853,3,128038373.0,EEFSEC,136.0,Other infectious and parasitic diseases,50,0.8056,0.354
rs10934853,3,128038373.0,EEFSEC,150.0,Cancer of esophagus,47,0.9651,0.8776
rs10934853,3,128038373.0,EEFSEC,151.0,Cancer of stomach,51,1.157,0.495
rs10934853,3,128038373.0,EEFSEC,153.0,Colorectal cancer,397,1.0190000000000001,0.8194
rs10934853,3,128038373.0,EEFSEC,155.0,Cancer of liver and intrahepatic bile duct,55,0.9093,0.6602
rs10934853,3,128038373.0,EEFSEC,157.0,Pancreatic cancer,85,1.024,0.8896
rs10934853,3,128038373.0,EEFSEC,159.0,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,102,1.102,0.528
rs10934853,3,128038373.0,EEFSEC,165.0,Cancer within the respiratory system,346,1.082,0.3494
rs10934853,3,128038373.0,EEFSEC,170.2,Cancer of connective tissue,62,0.7779,0.2381
rs10934853,3,128038373.0,EEFSEC,170.0,Cancer of bone and connective tissue,105,0.8988,0.4988
rs10934853,3,128038373.0,EEFSEC,172.0,Skin cancer,2161,1.056,0.1523
rs10934853,3,128038373.0,EEFSEC,173.0,Neoplasm of uncertain behavior of skin,497,1.055,0.4673
rs10934853,3,128038373.0,EEFSEC,174.0,Breast cancer,705,1.015,0.8170000000000001
rs10934853,3,128038373.0,EEFSEC,182.0,Malignant neoplasm of uterus,129,0.7846,0.1046
rs10934853,3,128038373.0,EEFSEC,180.0,Cervical cancer and dysplasia,263,0.8715,0.1972
rs10934853,3,128038373.0,EEFSEC,184.0,Cancer of other female genital organs,106,0.9594,0.7914
rs10934853,3,128038373.0,EEFSEC,185.0,Cancer of prostate,848,1.078,0.265
rs10934853,3,128038373.0,EEFSEC,187.0,Cancer of other male genital organs,49,0.868,0.5421
rs10934853,3,128038373.0,EEFSEC,189.0,Cancer of urinary organs (incl. kidney and bladder),448,0.9319,0.3609
rs10934853,3,128038373.0,EEFSEC,191.0,Manlignant and unknown neoplasms of brain and nervous system,123,0.983,0.9045
rs10934853,3,128038373.0,EEFSEC,193.0,Thyroid cancer,94,1.024,0.8854
rs10934853,3,128038373.0,EEFSEC,195.0,"Cancer, suspected or other",499,0.9944,0.9385
rs10934853,3,128038373.0,EEFSEC,250.12,Type 1 diabetes with renal manifestations,65,1.111,0.5906
rs10934853,3,128038373.0,EEFSEC,198.0,Secondary malignant neoplasm,757,0.9861,0.8141
rs10934853,3,128038373.0,EEFSEC,200.0,Myeloproliferative disease,165,1.151,0.2371
rs10934853,3,128038373.0,EEFSEC,201.0,Hodgkin's disease,45,0.6792,0.1342
rs10934853,3,128038373.0,EEFSEC,202.0,"Cancer of other lymphoid, histiocytic tissue",264,0.9538,0.6308
rs10934853,3,128038373.0,EEFSEC,204.0,Leukemia,192,0.9956,0.9689
rs10934853,3,128038373.0,EEFSEC,208.0,Benign neoplasm of colon,2841,1.0090000000000001,0.8028
rs10934853,3,128038373.0,EEFSEC,210.0,"Benign neoplasm of lip, oral cavity, and pharynx",84,1.327,0.08229
rs10934853,3,128038373.0,EEFSEC,211.0,Benign neoplasm of other parts of digestive system,204,0.9452,0.6166
rs10934853,3,128038373.0,EEFSEC,212.0,Benign neoplasm of respiratory and intrathoracic organs,49,1.177,0.4519
rs10934853,3,128038373.0,EEFSEC,213.0,Benign neoplasm of bone and articular cartilage,54,0.8684,0.5292
rs10934853,3,128038373.0,EEFSEC,214.0,Lipoma,475,0.9768,0.7523
rs10934853,3,128038373.0,EEFSEC,215.0,Other benign neoplasm of connective and other soft tissue,99,0.8965,0.5032
rs10934853,3,128038373.0,EEFSEC,216.0,Benign neoplasm of skin,2106,1.0759999999999998,0.06321
rs10934853,3,128038373.0,EEFSEC,218.0,Benign neoplasm of uterus,466,0.9293,0.3633
rs10934853,3,128038373.0,EEFSEC,220.0,Benign neoplasm of ovary,80,0.9535,0.7923
rs10934853,3,128038373.0,EEFSEC,224.0,Benign neoplasm of eye,332,1.072,0.4245
rs10934853,3,128038373.0,EEFSEC,225.0,Benign neoplasm of brain and other parts of nervous system,135,1.104,0.4572
rs10934853,3,128038373.0,EEFSEC,226.0,Benign neoplasm of thyroid glands,46,0.4954,0.01293
rs10934853,3,128038373.0,EEFSEC,227.0,Benign neoplasm of other endocrine glands and related structures,131,0.9117,0.5126
rs10934853,3,128038373.0,EEFSEC,228.0,"Hemangioma and lymphangioma, any site",238,1.1059999999999999,0.3188
rs10934853,3,128038373.0,EEFSEC,229.0,Benign neoplasm of unspecified sites,29,0.6618,0.2028
rs10934853,3,128038373.0,EEFSEC,240.0,Simple and unspecified goiter,380,0.9816,0.8262
rs10934853,3,128038373.0,EEFSEC,241.0,Nontoxic nodular goiter,589,0.9032,0.1388
rs10934853,3,128038373.0,EEFSEC,242.0,Thyrotoxicosis with or without goiter,361,0.8595,0.08383
rs10934853,3,128038373.0,EEFSEC,244.0,Hypothyroidism NOS,2042,0.8973,0.006945999999999999
rs10934853,3,128038373.0,EEFSEC,245.0,Thyroiditis,174,0.7569,0.03071
rs10934853,3,128038373.0,EEFSEC,246.0,Other disorders of thyroid,212,0.8453,0.1381
rs10934853,3,128038373.0,EEFSEC,250.0,Diabetes mellitus,3231,1.075,0.029889999999999996
rs10934853,3,128038373.0,EEFSEC,250.2,Type 2 diabetes,3122,1.074,0.03495
rs10934853,3,128038373.0,EEFSEC,250.1,Type 1 diabetes,615,1.002,0.971
rs10934853,3,128038373.0,EEFSEC,251.0,Other disorders of pancreatic internal secretion,56,0.8869,0.5764
rs10934853,3,128038373.0,EEFSEC,252.0,Disorders of parathyroid gland,237,0.981,0.8529
rs10934853,3,128038373.0,EEFSEC,253.0,Disorders of the pituitary gland and its hypothalamic control,158,0.9385,0.6171
rs10934853,3,128038373.0,EEFSEC,255.0,Disorders of adrenal glands,193,1.013,0.9071
rs10934853,3,128038373.0,EEFSEC,256.0,Ovarian dysfunction,42,0.8012,0.389
rs10934853,3,128038373.0,EEFSEC,257.0,Testicular dysfunction,144,1.042,0.7527
rs10934853,3,128038373.0,EEFSEC,259.0,Other endocrine disorders,80,1.4509999999999998,0.02333
rs10934853,3,128038373.0,EEFSEC,260.0,Protein-calorie malnutrition,690,1.046,0.4648
rs10934853,3,128038373.0,EEFSEC,264.0,Lack of normal physiological development,165,0.6621,0.002616
rs10934853,3,128038373.0,EEFSEC,270.0,Disorders of protein plasma/amino-acid transport and metabolism,278,1.16,0.1091
rs10934853,3,128038373.0,EEFSEC,271.0,Disorders of carbohydrate transport and metabolism,668,1.071,0.2873
rs10934853,3,128038373.0,EEFSEC,272.0,Disorders of lipoid metabolism,8000,0.9701,0.3945
rs10934853,3,128038373.0,EEFSEC,274.0,Gout and other crystal arthropathies,904,1.065,0.2478
rs10934853,3,128038373.0,EEFSEC,275.0,Disorders of mineral metabolism,943,1.06,0.2738
rs10934853,3,128038373.0,EEFSEC,275.1,Disorders of iron metabolism,40,0.9585,0.8656
rs10934853,3,128038373.0,EEFSEC,275.3,Disorders of magnesium metabolism,198,0.9812,0.8672
rs10934853,3,128038373.0,EEFSEC,275.5,Disorders of calcium/phosphorus metabolism,496,1.04,0.5908
rs10934853,3,128038373.0,EEFSEC,276.0,"Disorders of fluid, electrolyte, and acid-base balance",3400,1.033,0.3356
rs10934853,3,128038373.0,EEFSEC,277.0,Other disorders of metabolism,69,1.084,0.6649
rs10934853,3,128038373.0,EEFSEC,277.4,Disorders of bilirubin excretion,46,0.7571,0.2621
rs10934853,3,128038373.0,EEFSEC,277.5,Other disorders of lipoid metabolism,263,0.8074,0.0396
rs10934853,3,128038373.0,EEFSEC,277.7,Dysmetabolic syndrome X,112,1.156,0.3214
rs10934853,3,128038373.0,EEFSEC,277.9,"Other disorders of metabolic, endocrine, immunity disorders",37,1.228,0.409
rs10934853,3,128038373.0,EEFSEC,278.0,"Overweight, obesity and other hyperalimentation",3516,1.1079999999999999,0.0026609999999999997
rs10934853,3,128038373.0,EEFSEC,278.1,Obesity,3141,1.101,0.007370000000000001
rs10934853,3,128038373.0,EEFSEC,279.0,Disorders involving the immune mechanism,297,0.9817,0.8431
rs10934853,3,128038373.0,EEFSEC,280.0,Iron deficiency anemias,1189,1.047,0.3582
rs10934853,3,128038373.0,EEFSEC,281.0,Other deficiency anemia,307,0.978,0.8095
rs10934853,3,128038373.0,EEFSEC,281.1,Megaloblastic anemia,176,1.002,0.9852
rs10934853,3,128038373.0,EEFSEC,282.0,Hereditary hemolytic anemias,59,0.9466,0.7929
rs10934853,3,128038373.0,EEFSEC,283.0,Acquired hemolytic anemias,34,0.9261,0.7784
rs10934853,3,128038373.0,EEFSEC,284.0,Aplastic anemia,172,0.8932,0.3631
rs10934853,3,128038373.0,EEFSEC,285.0,Other anemias,3459,1.068,0.04746
rs10934853,3,128038373.0,EEFSEC,286.0,Coagulation defects,2191,1.002,0.963
rs10934853,3,128038373.0,EEFSEC,286.1,Congenital coagulation defects,41,1.265,0.319
rs10934853,3,128038373.0,EEFSEC,287.0,Purpura and other hemorrhagic conditions,786,1.0390000000000001,0.5277
rs10934853,3,128038373.0,EEFSEC,288.1,Decreased white blood cell count,398,0.9093,0.2525
rs10934853,3,128038373.0,EEFSEC,288.0,Diseases of white blood cells,565,0.9464,0.4239
rs10934853,3,128038373.0,EEFSEC,289.0,Other diseases of blood and blood-forming organs,363,0.9212,0.3425
rs10934853,3,128038373.0,EEFSEC,290.0,Delirium dementia and amnestic and other cognitive disorders,1566,0.9724,0.5714
rs10934853,3,128038373.0,EEFSEC,291.0,Other specified nonpsychotic and/or transient mental disorders,450,1.03,0.7101
rs10934853,3,128038373.0,EEFSEC,293.0,Symptoms involving head and neck,529,0.9746,0.7191
rs10934853,3,128038373.0,EEFSEC,295.0,Schizophrenia and other psychotic disorders,595,1.041,0.5677
rs10934853,3,128038373.0,EEFSEC,296.0,Mood disorders,2802,0.9809,0.6052
rs10934853,3,128038373.0,EEFSEC,296.1,Bipolar,138,1.206,0.1482
rs10934853,3,128038373.0,EEFSEC,296.2,Depression,2656,0.9654,0.358
rs10934853,3,128038373.0,EEFSEC,300.0,"Anxiety, phobic and dissociative disorders",2477,0.9803,0.6233
rs10934853,3,128038373.0,EEFSEC,301.0,Personality disorders,371,1.052,0.5766
rs10934853,3,128038373.0,EEFSEC,302.0,Sexual and gender identity disorders,163,1.0490000000000002,0.7051
rs10934853,3,128038373.0,EEFSEC,306.0,Random mental disorder. Ignored for now,89,1.209,0.2529
rs10934853,3,128038373.0,EEFSEC,339.0,Other headache syndromes,2204,0.9736,0.4977
rs10934853,3,128038373.0,EEFSEC,312.0,Conduct disorders,76,1.4040000000000001,0.04649
rs10934853,3,128038373.0,EEFSEC,313.0,Pervasive developmental disorders,79,0.9348,0.7105
rs10934853,3,128038373.0,EEFSEC,315.0,Develomental delays and disorders,261,1.028,0.7754
rs10934853,3,128038373.0,EEFSEC,316.0,Substance addiction and disorders,246,1.0979999999999999,0.3506
rs10934853,3,128038373.0,EEFSEC,317.0,Alcohol-related disorders,515,0.9859,0.8448
rs10934853,3,128038373.0,EEFSEC,320.0,Meningitis,50,0.7683,0.2673
rs10934853,3,128038373.0,EEFSEC,324.0,Other CNS infection and poliomyelitis,59,1.2109999999999999,0.3286
rs10934853,3,128038373.0,EEFSEC,327.0,Sleep disorders,1743,0.9653,0.3938
rs10934853,3,128038373.0,EEFSEC,327.3,Sleep apnea,1433,1.006,0.9002
rs10934853,3,128038373.0,EEFSEC,331.0,Other cerebral degenerations,128,0.9119,0.5172
rs10934853,3,128038373.0,EEFSEC,332.0,Parkinson's disease,252,0.9874,0.9005
rs10934853,3,128038373.0,EEFSEC,333.0,Extrapyramidal disease and abnormal movement disorders,588,1.111,0.1111
rs10934853,3,128038373.0,EEFSEC,334.0,Degenerative disease of the spinal cord,110,0.9437,0.7037
rs10934853,3,128038373.0,EEFSEC,335.0,Multiple sclerosis,83,0.8474,0.361
rs10934853,3,128038373.0,EEFSEC,337.0,Disorders of the autonomic nervous system,217,0.9204,0.4528
rs10934853,3,128038373.0,EEFSEC,340.0,Migraine,744,1.036,0.5635
rs10934853,3,128038373.0,EEFSEC,342.0,Hemiplegia,192,0.9961,0.9726
rs10934853,3,128038373.0,EEFSEC,344.0,Other paralytic syndromes,97,1.123,0.457
rs10934853,3,128038373.0,EEFSEC,345.0,"Epilepsy, recurrent seizures, convulsions",512,1.133,0.07237
rs10934853,3,128038373.0,EEFSEC,346.0,Abnormal findings on study of brain and/or nervous system,87,1.013,0.9368
rs10934853,3,128038373.0,EEFSEC,348.0,Other conditions of brain,205,1.0590000000000002,0.6025
rs10934853,3,128038373.0,EEFSEC,349.0,Other and unspecified disorders of the nervous system,84,0.9482,0.7599
rs10934853,3,128038373.0,EEFSEC,350.0,Abnormal movement,1838,0.9542,0.2715
rs10934853,3,128038373.0,EEFSEC,351.0,Other peripheral nerve disorders,2286,1.043,0.2834
rs10934853,3,128038373.0,EEFSEC,352.0,Disorders of other cranial nerves,270,1.004,0.9658
rs10934853,3,128038373.0,EEFSEC,353.0,Nerve root and plexus disorders,213,0.9885,0.9168
rs10934853,3,128038373.0,EEFSEC,355.0,Complex regional/central pain syndrome,50,0.8574,0.5061
rs10934853,3,128038373.0,EEFSEC,356.0,Hereditary and idiopathic peripheral neuropathy,851,1.033,0.5658
rs10934853,3,128038373.0,EEFSEC,357.0,Inflammatory and toxic neuropathy,172,0.8392,0.16399999999999998
rs10934853,3,128038373.0,EEFSEC,358.0,Myoneural disorders,39,1.071,0.7819
rs10934853,3,128038373.0,EEFSEC,359.0,Muscular dystrophies and other myopathies,108,0.9331,0.6526
rs10934853,3,128038373.0,EEFSEC,360.0,Disorders of the globe,111,1.018,0.9061
rs10934853,3,128038373.0,EEFSEC,361.0,Retinal detachments and defects,449,0.9426,0.4622
rs10934853,3,128038373.0,EEFSEC,362.0,Other retinal disorders,3146,0.9889,0.794
rs10934853,3,128038373.0,EEFSEC,362.2,Degeneration of macula and posterior pole of retina,2304,0.9796,0.6729
rs10934853,3,128038373.0,EEFSEC,363.0,"Chorioretinal inflammations, scars, and other disorders of choroid",264,1.131,0.2203
rs10934853,3,128038373.0,EEFSEC,364.0,Corneal opacity and other disorders of cornea,662,0.8704,0.054279999999999995
rs10934853,3,128038373.0,EEFSEC,365.0,Glaucoma,2586,1.003,0.9517
rs10934853,3,128038373.0,EEFSEC,366.0,Cataract,6119,1.022,0.605
